asset,type,location,W4_terrain_risk,W7_centrality_rank,Barrier Lake Hit,Landslide Hit,Debris Flow Hit,notes
shelter_139,W3 Shelter,,medium,,N,N,N,outside event area
shelter_140,W3 Shelter,,high,,N,N,N,outside event area
shelter_141,W3 Shelter,,high,,N,N,N,outside event area
shelter_142,W3 Shelter,,medium,,N,N,N,outside event area
shelter_143,W3 Shelter,,medium,,N,N,N,outside event area
shelter_144,W3 Shelter,,high,,N,N,N,outside event area
shelter_145,W3 Shelter,,high,,N,N,N,outside event area
shelter_146,W3 Shelter,,high,,N,N,N,outside event area
shelter_147,W3 Shelter,,medium,,N,N,N,outside event area
shelter_148,W3 Shelter,,high,,N,N,N,outside event area
shelter_149,W3 Shelter,,high,,N,N,N,outside event area
shelter_150,W3 Shelter,,high,,N,N,N,outside event area
shelter_151,W3 Shelter,,medium,,N,N,N,outside event area
shelter_152,W3 Shelter,,medium,,N,N,N,outside event area
shelter_153,W3 Shelter,,low,,N,N,N,outside event area
shelter_154,W3 Shelter,,high,,N,N,N,outside event area
shelter_155,W3 Shelter,,medium,,N,N,N,outside event area
shelter_156,W3 Shelter,,high,,N,N,N,outside event area
shelter_157,W3 Shelter,,medium,,N,N,N,outside event area
shelter_158,W3 Shelter,,low,,N,N,N,outside event area
shelter_159,W3 Shelter,,low,,N,N,N,outside event area
shelter_160,W3 Shelter,,medium,,N,N,N,outside event area
shelter_161,W3 Shelter,,medium,,N,N,N,outside event area
shelter_162,W3 Shelter,,low,,N,N,N,outside event area
shelter_163,W3 Shelter,,high,,N,N,N,outside event area
shelter_164,W3 Shelter,,high,,N,N,N,outside event area
shelter_165,W3 Shelter,,medium,,N,N,N,outside event area
shelter_166,W3 Shelter,,high,,N,N,N,outside event area
shelter_167,W3 Shelter,,high,,N,N,N,outside event area
shelter_168,W3 Shelter,,high,,N,N,N,outside event area
shelter_169,W3 Shelter,,high,,N,N,N,outside event area
shelter_170,W3 Shelter,,medium,,N,N,N,outside event area
shelter_171,W3 Shelter,,high,,N,N,N,outside event area
shelter_172,W3 Shelter,,high,,N,N,N,outside event area
shelter_173,W3 Shelter,,high,,N,N,N,outside event area
shelter_174,W3 Shelter,,high,,N,N,N,outside event area
shelter_175,W3 Shelter,,high,,N,N,N,outside event area
shelter_176,W3 Shelter,,high,,N,N,N,outside event area
shelter_177,W3 Shelter,,high,,N,N,N,outside event area
shelter_178,W3 Shelter,,high,,N,N,N,outside event area
shelter_179,W3 Shelter,,high,,N,N,N,outside event area
shelter_180,W3 Shelter,,low,,N,N,N,outside event area
shelter_181,W3 Shelter,,low,,N,N,N,outside event area
shelter_182,W3 Shelter,,medium,,N,N,N,outside event area
shelter_183,W3 Shelter,,medium,,N,N,N,outside event area
shelter_184,W3 Shelter,,high,,N,N,N,outside event area
shelter_185,W3 Shelter,,medium,,N,N,N,outside event area
shelter_186,W3 Shelter,,medium,,N,N,N,outside event area
shelter_187,W3 Shelter,,high,,N,N,N,outside event area
shelter_188,W3 Shelter,,medium,,N,N,N,outside event area
shelter_189,W3 Shelter,,low,,N,N,N,outside event area
shelter_190,W3 Shelter,,high,,N,N,N,outside event area
shelter_191,W3 Shelter,,low,,N,N,N,outside event area
shelter_192,W3 Shelter,,low,,N,N,N,outside event area
shelter_193,W3 Shelter,,low,,N,N,N,outside event area
shelter_194,W3 Shelter,,low,,N,N,N,outside event area
shelter_195,W3 Shelter,,high,,N,N,N,outside event area
shelter_196,W3 Shelter,,high,,N,N,N,outside event area
shelter_197,W3 Shelter,,high,,N,N,N,outside event area
649286213,W7 Bottleneck,,,1.0,N,N,N,outside event area
649286214,W7 Bottleneck,,,2.0,N,N,N,outside event area
1061487893,W7 Bottleneck,,,3.0,N,N,N,outside event area
929963021,W7 Bottleneck,,,4.0,N,N,N,outside event area
1074772659,W7 Bottleneck,,,5.0,N,N,N,outside event area
Mataian_Hwy9_Bridge,W8 Guangfu (bridge),台9線馬太鞍溪橋,,,N,N,N,priority=1
