StationId,StationName,CountyName,TownName,StationLatitude,StationLongitude,StationAltitude,DateTime,Past1hr,Past10Min,Past3hr,Past6hr,Past12hr,Past24hr,NOW,Past2days,Past3days
01T560,西林,花蓮縣,萬榮鄉,23.819214,121.432069,200,2025/7/19 06:10,5,0,18,48,103,120,49,120,120
01T670,新東礦,花蓮縣,萬榮鄉,23.814841,121.403464,1100,2025/7/19 06:10,5,0,17,46,98,124,47,124,124
C1Z240,中平林道,花蓮縣,卓溪鄉,23.421147,121.267631,1163,2025/7/19 06:10,5,2.5,53,92,147,186,93.5,186,186
C0Z230,和平,花蓮縣,秀林鄉,24.307169,121.770069,31,2025/7/19 06:10,4.5,3,15.5,40.5,70,79.5,40.5,79.5,79.5
C0TA30,鹽寮,花蓮縣,壽豐鄉,23.845606,121.592664,11,2025/7/19 06:10,4.5,0,27,88,107.5,117,89,117,117
C0T900,西林,花蓮縣,萬榮鄉,23.8119,121.441458,160,2025/7/19 06:10,4,0,17.5,46.5,100,116,47.5,116,116
C0Z150,吉安光華,花蓮縣,吉安鄉,23.930925,121.595153,27,2025/7/19 06:10,4,0,42.5,99,116,145.5,99,145.5,145.5
C0Z270,蕃薯寮,花蓮縣,壽豐鄉,23.73835,121.540108,343,2025/7/19 06:10,4,0,12,37,84,93.5,38.5,93.5,93.5
88T830,和中,花蓮縣,秀林鄉,24.270832,121.741801,21,2025/7/19 06:10,3.5,3,17,30.5,64.5,73,30.5,73,73
81T890,瑞北國小,花蓮縣,瑞穗鄉,23.525556,121.376111,103,2025/7/19 06:10,3.5,0.5,54.5,87.5,141.5,161.5,88,161.5,161.5
C0Z310,清水斷崖,花蓮縣,秀林鄉,24.218294,121.689142,59,2025/7/19 06:10,3.5,0.5,19.5,29,64,76,29,76,76
01T240,苗圃,花蓮縣,卓溪鄉,23.417015,121.279375,940,2025/7/19 06:10,3,0,70,117,173,202,117,202,202
C0Z280,德武,花蓮縣,玉里鎮,23.474264,121.410711,224,2025/7/19 06:10,3,1.5,39.5,83.5,125.5,153,84,153,153
C1Z030,紅葉,花蓮縣,萬榮鄉,23.493119,121.338806,218,2025/7/19 06:10,2.5,0.5,37,78.5,126.5,156.5,78.5,156.5,156.5
C1Z040,立山,花蓮縣,卓溪鄉,23.443356,121.327375,434,2025/7/19 06:10,2.5,1.5,66.5,106.5,150,176,107,176,176
C0T9M0,靜浦,花蓮縣,豐濱鄉,23.455167,121.495028,92,2025/7/19 06:10,2,1,29.5,66.5,85.5,108,67.5,108,108
C0Z070,舞鶴,花蓮縣,瑞穗鄉,23.468114,121.374069,247,2025/7/19 06:10,2,0.5,45,88,127,146.5,88.5,146.5,146.5
O1T820,太平國小,花蓮縣,卓溪鄉,23.405748,121.320127,150,2025/7/19 06:10,2,0,71,126,169,188,126,188,188
81T880,石梯坪,花蓮縣,豐濱鄉,23.483056,121.511389,13,2025/7/19 06:10,2,2,25.5,56.5,88,116.5,57.5,116.5,116.5
C0Z210,瑞穗,花蓮縣,瑞穗鄉,23.5239,121.390211,126,2025/7/19 06:10,2,1,38.5,75,127,147,75,147,147
C0Z250,瑞穗林道,花蓮縣,卓溪鄉,23.492842,121.306883,1124,2025/7/19 06:10,2,0.5,49.5,97,157,205.5,97.5,205.5,205.5
01T220,卓麓(4),花蓮縣,卓溪鄉,23.295556,121.266944,207,2025/7/19 06:10,1,0,8,43,98,134,47,134,134
01T230,立山,花蓮縣,卓溪鄉,23.430078,121.312632,180,2025/7/19 06:10,1,0,71,120,160,181,120,181,181
A0Z080,合歡山,花蓮縣,秀林鄉,24.143186,121.284231,3171,2025/7/19 06:10,0.5,0,3,7.5,11.5,13,8,13,13
C1T800,洛韶,花蓮縣,秀林鄉,24.204558,121.453956,1260,2025/7/19 06:10,0,0,19.5,51.5,91,103,52.5,103,104.5
O1T800,奇美國小,花蓮縣,瑞穗鄉,23.496927,121.445929,103,2025/7/19 06:10,0,0,30,69,108,145,69,145,145
81T1C0,明利國小,花蓮縣,萬榮鄉,23.706388,121.4125,160,2025/7/19 06:10,0,0,0,0,0,0,0,0,0
