date,year,month,year_month,cloud_percentage
2023-12-11 02:40:45.288,2023,12,2023-12,35.653141
2023-12-26 02:40:51.625,2023,12,2023-12,34.075606
2023-12-31 02:40:47.272,2023,12,2023-12,30.828711
2024-01-05 02:40:50.230,2024,1,2024-01,10.579441
2024-01-05 02:41:04.709,2024,1,2024-01,7.230414
2024-01-15 02:41:03.416,2024,1,2024-01,29.440701
2024-01-20 02:40:56.320,2024,1,2024-01,24.968825
2024-02-14 02:40:51.815,2024,2,2024-02,0.004502
2024-02-14 02:41:05.793,2024,2,2024-02,0.029725
2024-02-19 02:40:48.237,2024,2,2024-02,32.611296
2024-03-05 02:40:45.914,2024,3,2024-03,24.208635
2024-03-05 02:41:00.365,2024,3,2024-03,39.547673
2024-03-20 02:40:51.170,2024,3,2024-03,34.122604
2024-03-25 02:40:50.723,2024,3,2024-03,36.382955
2024-03-25 02:41:05.202,2024,3,2024-03,19.836606
2024-04-04 02:41:02.669,2024,4,2024-04,16.861676
2024-04-14 02:41:05.476,2024,4,2024-04,37.521544
2024-04-29 02:40:52.883,2024,4,2024-04,2.860359
2024-04-29 02:41:07.361,2024,4,2024-04,33.510107
2024-06-23 02:40:52.995,2024,6,2024-06,32.257023
2024-06-23 02:41:07.470,2024,6,2024-06,24.701703
2024-07-03 02:40:53.984,2024,7,2024-07,18.926075
2024-07-03 02:41:08.463,2024,7,2024-07,25.830188
2024-07-08 02:41:08.111,2024,7,2024-07,12.924877
2024-07-13 02:41:06.949,2024,7,2024-07,24.964851
2024-07-18 02:40:50.886,2024,7,2024-07,17.330107
2024-07-18 02:41:05.335,2024,7,2024-07,12.427331
2024-07-28 02:40:52.860,2024,7,2024-07,34.41084
2024-08-02 02:40:50.764,2024,8,2024-08,8.798674
2024-08-02 02:41:05.222,2024,8,2024-08,20.888521
2024-08-12 02:40:54.560,2024,8,2024-08,18.278977
2024-08-12 02:41:09.040,2024,8,2024-08,27.001759
2024-08-22 02:40:49.800,2024,8,2024-08,22.302505
2024-08-22 02:41:04.257,2024,8,2024-08,22.769178
2024-08-27 02:40:48.398,2024,8,2024-08,11.19353
2024-08-27 02:41:02.859,2024,8,2024-08,8.358254
2024-09-01 02:40:53.039,2024,9,2024-09,5.527171
2024-09-01 02:41:07.518,2024,9,2024-09,11.665565
2024-09-06 02:40:50.286,2024,9,2024-09,33.973789
2024-09-06 02:41:04.764,2024,9,2024-09,23.20279
2024-09-11 02:40:51.771,2024,9,2024-09,12.322975
2024-09-11 02:41:06.255,2024,9,2024-09,24.613728
2024-09-16 02:40:49.791,2024,9,2024-09,33.191469
2024-10-06 02:41:04.690,2024,10,2024-10,21.163855
2024-11-05 02:41:01.869,2024,11,2024-11,27.0244
2024-11-25 02:41:03.374,2024,11,2024-11,31.102505
2024-12-20 02:41:05.297,2024,12,2024-12,12.733707
2025-01-14 02:40:47.961,2025,1,2025-01,0.006855
2025-01-14 02:41:02.415,2025,1,2025-01,33.432251
2025-02-28 02:40:53.101,2025,2,2025-02,2.328871
2025-02-28 02:41:07.577,2025,2,2025-02,10.884085
2025-03-20 02:40:53.086,2025,3,2025-03,30.135056
2025-03-25 02:41:12.049,2025,3,2025-03,0.287318
2025-03-25 02:41:26.530,2025,3,2025-03,0.405022
2025-04-04 02:41:27.836,2025,4,2025-04,25.465304
2025-04-14 02:41:11.559,2025,4,2025-04,4.497682
2025-04-14 02:41:26.035,2025,4,2025-04,5.655675
2025-04-16 02:41:03.053,2025,4,2025-04,15.434997
2025-04-16 02:41:17.537,2025,4,2025-04,39.43533
2025-04-29 02:40:51.817,2025,4,2025-04,32.741952
2025-05-14 02:41:07.258,2025,5,2025-05,22.399056
2025-06-08 02:41:04.044,2025,6,2025-06,35.251239
2025-06-15 02:41:04.362,2025,6,2025-06,24.550475
2025-06-15 02:41:18.822,2025,6,2025-06,8.501057
2025-06-28 02:40:52.645,2025,6,2025-06,27.687222
2025-07-05 02:41:22.866,2025,7,2025-07,36.641845
2025-07-23 02:41:13.121,2025,7,2025-07,26.008955
2025-07-23 02:41:27.606,2025,7,2025-07,33.834308
2025-08-07 02:40:51.685,2025,8,2025-08,30.308515
2025-08-12 02:41:23.713,2025,8,2025-08,34.606829
2025-08-14 02:41:02.841,2025,8,2025-08,15.833111
2025-08-14 02:41:17.295,2025,8,2025-08,28.774887
2025-08-17 02:40:52.601,2025,8,2025-08,25.991938
2025-08-17 02:41:07.072,2025,8,2025-08,17.585771
2025-08-22 02:41:09.801,2025,8,2025-08,6.847092
2025-08-22 02:41:24.282,2025,8,2025-08,30.227232
2025-09-03 02:41:04.266,2025,9,2025-09,30.025935
2025-09-03 02:41:18.739,2025,9,2025-09,28.960449
2025-09-06 02:40:49.297,2025,9,2025-09,19.809125
2025-09-06 02:41:03.759,2025,9,2025-09,28.460217
2025-09-11 02:41:18.927,2025,9,2025-09,13.519251
2025-09-21 02:41:18.329,2025,9,2025-09,18.645827
2025-10-01 02:41:05.801,2025,10,2025-10,16.686168
2025-10-01 02:41:20.282,2025,10,2025-10,6.756122
2025-10-06 02:40:49.607,2025,10,2025-10,13.34977
2025-10-06 02:41:04.074,2025,10,2025-10,13.276078
2025-10-11 02:41:17.791,2025,10,2025-10,17.947668
2025-10-13 02:41:04.474,2025,10,2025-10,6.952007
2025-10-13 02:41:18.940,2025,10,2025-10,19.312082
2025-10-16 02:40:49.994,2025,10,2025-10,10.361207
2025-10-16 02:41:04.468,2025,10,2025-10,2.543064
2025-11-30 02:40:58.733,2025,11,2025-11,34.994459
2025-12-10 02:40:58.350,2025,12,2025-12,28.397673
2025-12-10 02:41:12.839,2025,12,2025-12,26.796582
2026-01-04 02:40:48.800,2026,1,2026-01,8.923633
2026-01-04 02:41:03.268,2026,1,2026-01,10.495801
2026-01-14 02:40:47.403,2026,1,2026-01,5.510665
2026-01-14 02:41:01.873,2026,1,2026-01,10.192793
2026-01-19 02:40:50.680,2026,1,2026-01,36.948693
2026-01-19 02:41:05.142,2026,1,2026-01,3.207747
2026-01-29 02:40:55.969,2026,1,2026-01,2.138217
2026-02-13 02:40:44.430,2026,2,2026-02,6.282159
2026-03-15 02:40:47.121,2026,3,2026-03,10.753714
2026-03-15 02:41:01.596,2026,3,2026-03,4.577274
2026-03-30 02:40:51.392,2026,3,2026-03,36.811596
2026-03-30 02:41:05.873,2026,3,2026-03,28.397354
