date,year,month,year_month,image_count,ndvi_mean,ndvi_min,ndvi_max,ndvi_spread
2024-04-15,2024,4,2024-04,4,0.4794831678685005,-1.0,0.9286380410194397,1.9286380410194397
2024-05-15,2024,5,2024-05,0,,,,
2024-06-15,2024,6,2024-06,2,0.44067228983841683,-0.41088178753852844,0.9210183024406433,1.3319000899791718
2024-07-15,2024,7,2024-07,7,0.5235144693964014,-0.2523176074028015,0.9596044421195984,1.2119220495224
2024-08-15,2024,8,2024-08,8,0.5135905762077803,-1.0,0.9540119767189026,1.9540119767189026
2024-09-15,2024,9,2024-09,7,0.4504593634383371,-0.48928284645080566,1.0,1.4892828464508057
2024-10-15,2024,10,2024-10,1,0.21209697428771482,-1.0,0.9369004368782043,1.9369004368782043
2024-11-15,2024,11,2024-11,2,0.3668275132009823,-0.6534181237220764,0.9333333373069763,1.5867514610290527
2024-12-15,2024,12,2024-12,1,0.3892313722375587,-0.7539432048797607,0.9586614370346069,1.7126046419143677
2025-01-15,2025,1,2025-01,2,0.471252227945197,-0.6900584697723389,1.0,1.6900584697723389
2025-02-15,2025,2,2025-02,2,0.4567463247699426,-0.6112532019615173,0.9664804339408875,1.5777336359024048
2025-03-15,2025,3,2025-03,3,0.5147930701261775,-0.5506101846694946,1.0,1.5506101846694946
2025-04-15,2025,4,2025-04,6,0.5012413667058703,-0.5761194229125977,0.948706328868866,1.5248257517814636
2025-05-15,2025,5,2025-05,1,0.7088666896272224,-0.3810344934463501,0.925301730632782,1.306336224079132
2025-06-15,2025,6,2025-06,4,0.5127566083961677,-1.0,1.0,2.0
2025-07-15,2025,7,2025-07,3,0.32520633567458673,-0.5254237055778503,1.0,1.5254237055778503
2025-08-15,2025,8,2025-08,8,0.5085685151861682,-0.5607575178146362,0.9623023867607117,1.523059904575348
2025-09-15,2025,9,2025-09,6,0.48760681369201514,-1.0,1.0,2.0
2025-10-15,2025,10,2025-10,9,0.5072517590643366,-0.9454545378684998,1.0,1.9454545378684998
2025-11-15,2025,11,2025-11,1,0.6869458516270959,-0.5954322814941406,0.9849435091018677,1.5803757905960083
2025-12-15,2025,12,2025-12,2,0.38826859155060617,-0.8092848062515259,1.0,1.8092848062515259
2026-01-15,2026,1,2026-01,7,0.46929609485551577,-0.5283122658729553,1.0,1.5283122658729553
2026-02-15,2026,2,2026-02,1,0.609641249140195,-0.38367345929145813,1.0,1.3836734592914581
2026-03-15,2026,3,2026-03,4,0.5038287615916182,-0.9166666865348816,1.0,1.9166666865348816
