date,time_start,vv_mean,year,month,year_month
2025-10-08,1759960282000,-9.38800267269305,2025,10,2025-10
2025-10-14,1760478742000,-10.351939037223367,2025,10,2025-10
2025-10-20,1760997082000,-8.261521066457629,2025,10,2025-10
2025-10-26,1761515542000,-8.116990211941499,2025,10,2025-10
2025-11-01,1762033881000,-9.232624086448737,2025,11,2025-11
2025-11-07,1762552341000,-9.421448148386425,2025,11,2025-11
2025-11-13,1763070681000,-7.79314123472573,2025,11,2025-11
2025-11-19,1763589141000,-8.615080610964922,2025,11,2025-11
2025-11-25,1764107480000,-8.854982334750295,2025,11,2025-11
2025-12-01,1764625940000,-9.801687996902178,2025,12,2025-12
2025-12-07,1765144280000,-9.460589993716656,2025,12,2025-12
2025-12-13,1765662738000,-7.553818339060099,2025,12,2025-12
2025-12-19,1766181079000,-9.309870942321268,2025,12,2025-12
2025-12-25,1766699537000,-8.397529651413496,2025,12,2025-12
2025-12-31,1767217879000,-8.189497799901009,2025,12,2025-12
2026-01-06,1767736336000,-8.272892904575897,2026,1,2026-01
2026-01-12,1768254678000,-10.247494309076355,2026,1,2026-01
2026-01-18,1768773135000,-9.451110736807346,2026,1,2026-01
2026-01-24,1769291477000,-11.288594933846984,2026,1,2026-01
2026-01-30,1769809934000,-9.946518097959242,2026,1,2026-01
2026-02-05,1770328277000,-10.527990635051003,2026,2,2026-02
2026-02-11,1770846734000,-9.21439871494026,2026,2,2026-02
2026-02-17,1771365077000,-8.426044294676105,2026,2,2026-02
2026-02-23,1771883533000,-9.753940479026225,2026,2,2026-02
2026-03-01,1772401877000,-9.348130066199309,2026,3,2026-03
2026-03-07,1772920333000,-9.251382072994643,2026,3,2026-03
2026-03-13,1773438677000,-9.088844084690509,2026,3,2026-03
2026-03-19,1773957133000,-9.634898084027446,2026,3,2026-03
2026-03-25,1774475477000,-9.466979192987194,2026,3,2026-03
